sa1_code,age_0_4,age_5_9,age_10_14,age_15_19,age_20_24,age_25_29,age_30_34,age_35_39,age_40_44,age_45_49,age_50_54,age_55_59,age_60_64,age_65_69,age_70_74,age_75_79,age_80_84,age_85_89,age_90_and_over
7020956,12.0,6.0,15.0,6.0,3.0,18.0,12.0,12.0,12.0,12.0,15.0,3.0,9.0,3.0,6.0,6.0,6.0,0.0,0.0
7020959,15.0,18.0,12.0,12.0,18.0,18.0,12.0,21.0,9.0,15.0,21.0,9.0,6.0,3.0,9.0,9.0,3.0,6.0,0.0
7020879,3.0,6.0,12.0,9.0,6.0,3.0,12.0,15.0,15.0,12.0,9.0,15.0,6.0,3.0,6.0,0.0,3.0,0.0,0.0
7020888,12.0,9.0,18.0,12.0,6.0,6.0,18.0,18.0,18.0,12.0,12.0,15.0,3.0,6.0,3.0,3.0,0.0,0.0,0.0
7020894,0.0,6.0,6.0,6.0,3.0,6.0,6.0,6.0,6.0,3.0,9.0,12.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0
7020893,12.0,12.0,24.0,12.0,6.0,15.0,15.0,15.0,12.0,21.0,9.0,15.0,3.0,6.0,9.0,6.0,6.0,3.0,0.0
7020896,9.0,3.0,12.0,9.0,9.0,9.0,15.0,6.0,6.0,12.0,9.0,9.0,9.0,6.0,3.0,3.0,0.0,0.0,0.0
7020912,6.0,6.0,9.0,6.0,3.0,12.0,6.0,12.0,15.0,12.0,6.0,6.0,6.0,3.0,6.0,3.0,0.0,3.0,3.0
7034747,12.0,9.0,9.0,12.0,12.0,27.0,33.0,21.0,15.0,12.0,12.0,9.0,9.0,0.0,3.0,0.0,3.0,0.0,0.0
7020917,6.0,9.0,15.0,9.0,24.0,21.0,21.0,18.0,15.0,12.0,12.0,6.0,6.0,3.0,3.0,3.0,0.0,0.0,0.0
7020927,9.0,3.0,3.0,15.0,6.0,12.0,15.0,6.0,9.0,9.0,9.0,6.0,3.0,6.0,3.0,3.0,0.0,0.0,0.0
7020907,3.0,9.0,9.0,6.0,3.0,15.0,12.0,9.0,15.0,6.0,6.0,3.0,6.0,0.0,3.0,3.0,3.0,0.0,3.0
7034924,9.0,6.0,9.0,3.0,9.0,9.0,9.0,21.0,9.0,6.0,9.0,3.0,3.0,6.0,0.0,3.0,0.0,0.0,0.0
7034925,3.0,3.0,3.0,3.0,3.0,12.0,9.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7021139,9.0,12.0,6.0,9.0,9.0,27.0,15.0,12.0,3.0,12.0,12.0,9.0,6.0,3.0,3.0,3.0,0.0,0.0,0.0
7020947,9.0,12.0,9.0,3.0,9.0,15.0,6.0,21.0,21.0,9.0,6.0,9.0,6.0,6.0,3.0,0.0,3.0,3.0,0.0
7020933,12.0,18.0,12.0,9.0,6.0,9.0,15.0,12.0,15.0,9.0,12.0,18.0,12.0,18.0,9.0,6.0,0.0,0.0,0.0
7020880,9.0,6.0,9.0,3.0,12.0,6.0,21.0,9.0,9.0,12.0,6.0,6.0,6.0,6.0,3.0,0.0,0.0,0.0,0.0
7020860,6.0,9.0,6.0,18.0,12.0,9.0,9.0,12.0,18.0,6.0,15.0,15.0,18.0,15.0,6.0,6.0,3.0,0.0,0.0
7020864,6.0,9.0,18.0,15.0,12.0,12.0,15.0,18.0,18.0,12.0,15.0,12.0,15.0,0.0,9.0,3.0,3.0,0.0,3.0
7020861,6.0,12.0,12.0,15.0,6.0,9.0,9.0,6.0,9.0,12.0,15.0,9.0,12.0,6.0,3.0,6.0,0.0,0.0,0.0
7020873,6.0,12.0,24.0,18.0,12.0,0.0,3.0,9.0,9.0,15.0,21.0,18.0,3.0,6.0,0.0,0.0,3.0,0.0,0.0
7020871,0.0,9.0,9.0,12.0,3.0,3.0,0.0,3.0,3.0,9.0,12.0,12.0,3.0,6.0,0.0,3.0,3.0,0.0,0.0
7020872,9.0,9.0,12.0,9.0,6.0,6.0,6.0,15.0,15.0,12.0,15.0,12.0,9.0,9.0,6.0,3.0,0.0,0.0,0.0
7020946,3.0,9.0,9.0,9.0,12.0,15.0,9.0,12.0,12.0,9.0,12.0,9.0,12.0,12.0,9.0,6.0,6.0,3.0,0.0
7021703,3.0,15.0,15.0,12.0,12.0,9.0,3.0,6.0,9.0,6.0,24.0,18.0,12.0,15.0,3.0,6.0,6.0,6.0,0.0
7021696,9.0,9.0,3.0,15.0,12.0,21.0,15.0,12.0,15.0,9.0,15.0,6.0,9.0,6.0,12.0,6.0,3.0,3.0,3.0
7021698,6.0,6.0,6.0,15.0,15.0,9.0,9.0,15.0,12.0,15.0,15.0,15.0,9.0,3.0,6.0,3.0,0.0,0.0,0.0
7021700,9.0,12.0,15.0,18.0,12.0,15.0,12.0,12.0,15.0,15.0,18.0,9.0,12.0,12.0,3.0,6.0,3.0,3.0,0.0
7021704,6.0,12.0,9.0,9.0,3.0,6.0,3.0,3.0,9.0,6.0,9.0,6.0,12.0,6.0,6.0,6.0,3.0,0.0,0.0
7037224,3.0,0.0,3.0,3.0,6.0,6.0,6.0,3.0,0.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
7021707,12.0,12.0,27.0,6.0,12.0,6.0,15.0,18.0,18.0,21.0,9.0,9.0,12.0,6.0,6.0,3.0,3.0,0.0,3.0
7021796,3.0,12.0,18.0,12.0,12.0,6.0,6.0,3.0,15.0,15.0,9.0,12.0,3.0,9.0,3.0,6.0,3.0,0.0,0.0
7021710,9.0,6.0,9.0,9.0,3.0,9.0,9.0,9.0,9.0,15.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0,3.0,0.0
7021800,9.0,15.0,6.0,6.0,15.0,15.0,30.0,21.0,21.0,12.0,15.0,6.0,12.0,3.0,0.0,3.0,0.0,3.0,0.0
7021805,9.0,18.0,12.0,9.0,3.0,9.0,9.0,12.0,18.0,18.0,9.0,9.0,9.0,12.0,6.0,6.0,3.0,3.0,0.0
7021803,6.0,6.0,9.0,12.0,6.0,6.0,3.0,15.0,9.0,9.0,12.0,9.0,9.0,6.0,9.0,6.0,0.0,0.0,0.0
7034762,,,,,,,,,,,,,,,,,,,
7021811,3.0,3.0,6.0,9.0,9.0,12.0,6.0,12.0,9.0,9.0,15.0,12.0,6.0,3.0,3.0,6.0,3.0,0.0,0.0
7021708,3.0,3.0,6.0,6.0,3.0,6.0,9.0,3.0,3.0,3.0,15.0,0.0,6.0,9.0,9.0,9.0,6.0,3.0,0.0
7021715,6.0,6.0,15.0,9.0,3.0,3.0,3.0,3.0,12.0,18.0,12.0,15.0,3.0,3.0,9.0,6.0,3.0,3.0,0.0
7021809,6.0,9.0,12.0,15.0,15.0,27.0,12.0,3.0,12.0,21.0,18.0,18.0,21.0,15.0,0.0,12.0,9.0,0.0,3.0
7021723,12.0,9.0,18.0,12.0,6.0,15.0,9.0,18.0,9.0,24.0,21.0,9.0,9.0,9.0,6.0,3.0,0.0,0.0,0.0
7021721,9.0,12.0,9.0,12.0,6.0,12.0,9.0,12.0,9.0,9.0,12.0,12.0,12.0,9.0,3.0,3.0,3.0,0.0,0.0
7021726,3.0,3.0,9.0,9.0,9.0,6.0,0.0,12.0,9.0,9.0,9.0,15.0,15.0,12.0,18.0,9.0,3.0,3.0,0.0
7021720,12.0,12.0,12.0,9.0,6.0,6.0,6.0,9.0,15.0,21.0,9.0,9.0,12.0,6.0,6.0,3.0,3.0,0.0,0.0
7021498,9.0,12.0,15.0,6.0,9.0,3.0,18.0,6.0,18.0,21.0,18.0,9.0,9.0,6.0,9.0,3.0,3.0,3.0,0.0
7034811,12.0,3.0,9.0,9.0,6.0,3.0,9.0,9.0,9.0,15.0,9.0,6.0,3.0,3.0,3.0,6.0,3.0,0.0,0.0
7021496,9.0,6.0,6.0,12.0,15.0,15.0,12.0,15.0,9.0,12.0,9.0,12.0,12.0,6.0,6.0,3.0,0.0,0.0,0.0
7021497,15.0,18.0,6.0,6.0,6.0,21.0,9.0,15.0,9.0,12.0,15.0,21.0,9.0,3.0,6.0,3.0,0.0,0.0,0.0
7021331,9.0,15.0,15.0,15.0,12.0,3.0,9.0,12.0,6.0,18.0,12.0,21.0,6.0,6.0,6.0,6.0,3.0,0.0,0.0
7021332,6.0,9.0,6.0,3.0,0.0,6.0,6.0,15.0,9.0,12.0,9.0,6.0,9.0,0.0,0.0,6.0,0.0,0.0,0.0
7034813,6.0,15.0,9.0,12.0,12.0,6.0,15.0,9.0,15.0,12.0,6.0,12.0,9.0,3.0,3.0,0.0,3.0,3.0,3.0
7034812,3.0,12.0,9.0,9.0,0.0,6.0,18.0,12.0,9.0,9.0,12.0,6.0,6.0,6.0,6.0,3.0,0.0,0.0,0.0
7021326,6.0,6.0,12.0,9.0,0.0,9.0,3.0,3.0,12.0,18.0,3.0,0.0,6.0,6.0,6.0,6.0,3.0,3.0,0.0
7021327,3.0,12.0,15.0,12.0,18.0,15.0,6.0,12.0,12.0,15.0,12.0,12.0,12.0,0.0,0.0,3.0,0.0,0.0,0.0
7021505,6.0,15.0,15.0,9.0,3.0,3.0,0.0,9.0,12.0,21.0,12.0,9.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0
7021507,6.0,9.0,9.0,6.0,6.0,12.0,9.0,12.0,12.0,6.0,12.0,6.0,0.0,3.0,6.0,3.0,0.0,0.0,0.0
