x,y,pop_est
1743375,5426125,4.64
1743625,5426125,2.32
1743875,5426125,2.32
1746875,5426125,52.31
1747125,5426125,129.98
1747375,5426125,275.91
1747625,5426125,358.04
1747875,5426125,128.02
1748125,5426125,10.48
1748375,5426125,534.52
1748625,5426125,254.09
1748875,5426125,443.74
1749125,5426125,244.39
1749375,5426125,100.99
1749625,5426125,47.32
1749875,5426125,36.3
1750125,5426125,340.82
1750375,5426125,406.41
1750625,5426125,332.79
1750875,5426125,227.66
1751125,5426125,245.64
1752375,5426125,233.28
1752625,5426125,91.64
1752875,5426125,195.0
1753125,5426125,123.01
1753375,5426125,15.1
1758375,5426125,157.56
1758625,5426125,127.02
1741375,5426375,4.7
1741625,5426375,2.32
1743375,5426375,4.64
1743625,5426375,2.32
1744125,5426375,2.32
1747125,5426375,2.57
1747375,5426375,183.84
1747625,5426375,234.38
1748125,5426375,280.94
1748375,5426375,425.95
1748625,5426375,168.5
1748875,5426375,508.1
1749125,5426375,125.89
1749375,5426375,726.71
1749625,5426375,457.37
1750125,5426375,150.72
1750375,5426375,295.76
1750625,5426375,373.57
1750875,5426375,307.91
1751125,5426375,123.13
1752375,5426375,63.71
1753125,5426375,78.69
1753375,5426375,71.54
1758375,5426375,49.01
1758625,5426375,250.23
1758875,5426375,47.96
1741375,5426625,4.7
1744125,5426625,66.44
1744375,5426625,6.22
1746875,5426625,14.03
1747125,5426625,37.59
1747375,5426625,9.15
1747625,5426625,210.88
1747875,5426625,77.69
1748125,5426625,789.46
1748375,5426625,1171.05
1748625,5426625,425.15
1748875,5426625,286.34
1749125,5426625,83.77
1749375,5426625,671.77
1749625,5426625,718.08
1749875,5426625,51.95
1750125,5426625,27.18
1750375,5426625,277.87
1750625,5426625,214.64
1750875,5426625,212.1
1751125,5426625,101.0
1753125,5426625,16.67
1753375,5426625,25.0
1758625,5426625,156.61
1758875,5426625,87.81
1741125,5426875,4.76
1741375,5426875,2.32
1744125,5426875,32.05
1744375,5426875,195.31
1746625,5426875,13.14
1746875,5426875,105.85
1747125,5426875,139.88
1747375,5426875,13.78
1747625,5426875,255.89
1747875,5426875,617.9
1748125,5426875,751.44
1748375,5426875,611.89
1748625,5426875,926.83
1748875,5426875,917.34
1749125,5426875,744.94
1749375,5426875,518.38
1749625,5426875,742.56
1749875,5426875,296.76
1750375,5426875,103.96
1750625,5426875,202.15
1750875,5426875,190.67
1751125,5426875,32.14
1752625,5426875,2.55
1758625,5426875,124.65
1758875,5426875,65.7
1741125,5427125,2.38
1741375,5427125,4.7
1744125,5427125,116.94
1744375,5427125,352.99
1744625,5427125,47.81
1745625,5427125,2.67
1745875,5427125,96.81
1746125,5427125,222.99
1746375,5427125,42.86
1746625,5427125,2.19
1746875,5427125,177.95
1747125,5427125,147.02
1747375,5427125,119.68
1747625,5427125,249.63
1747875,5427125,633.25
1748125,5427125,479.74
1748375,5427125,508.13
1748625,5427125,749.14
1748875,5427125,1395.03
1749125,5427125,832.27
1749375,5427125,330.1
1749625,5427125,686.36
1749875,5427125,331.42
1750125,5427125,79.68
1750375,5427125,149.72
1750625,5427125,202.2
1750875,5427125,187.88
1758625,5427125,185.89
1758875,5427125,124.2
1741375,5427375,4.7
1743875,5427375,159.64
1744125,5427375,236.52
1744375,5427375,212.65
1744625,5427375,190.08
1744875,5427375,51.43
1745375,5427375,129.46
1745625,5427375,174.2
1745875,5427375,240.47
1746125,5427375,169.36
1746375,5427375,110.14
1746625,5427375,2.59
1746875,5427375,38.49
1747125,5427375,325.64
1747375,5427375,226.38
1747625,5427375,281.64
1747875,5427375,366.73
1748125,5427375,226.79
1748375,5427375,1048.75
1748625,5427375,1629.22
1748875,5427375,813.19
1749125,5427375,461.11
1749375,5427375,120.48
1749625,5427375,121.48
1749875,5427375,300.97
1750125,5427375,302.42
1750375,5427375,310.68
1750625,5427375,190.09
1750875,5427375,231.32
1751125,5427375,7.33
1758625,5427375,3.85
1758875,5427375,149.49
1741375,5427625,4.7
1741625,5427625,2.32
1743625,5427625,48.86
1743875,5427625,187.88
1744125,5427625,157.1
1744375,5427625,283.78
1744625,5427625,250.96
1744875,5427625,212.33
1745125,5427625,52.69
1745375,5427625,243.48
1745625,5427625,238.19
1745875,5427625,203.48
1746125,5427625,197.87
1746375,5427625,205.61
1746625,5427625,83.06
1746875,5427625,102.46
1747125,5427625,251.83
1747375,5427625,385.58
1747625,5427625,307.59
1747875,5427625,374.02
1748125,5427625,52.7
1748375,5427625,855.77
1748625,5427625,280.75
1748875,5427625,90.62
1749375,5427625,30.0
1749625,5427625,121.56
1750375,5427625,16.5
1750625,5427625,149.73
1750875,5427625,440.43
1751125,5427625,12.15
1741625,5427875,4.7
1743875,5427875,270.88
1744125,5427875,240.67
1744375,5427875,111.92
1744625,5427875,226.62
1744875,5427875,313.04
1745125,5427875,259.11
1745375,5427875,219.28
1745625,5427875,160.96
1745875,5427875,200.17
1746125,5427875,256.62
1746375,5427875,198.27
1746625,5427875,161.27
1746875,5427875,95.13
1747125,5427875,271.21
1747375,5427875,250.68
1747625,5427875,234.63
1747875,5427875,342.82
1748125,5427875,158.48
1748375,5427875,537.91
1748625,5427875,704.26
1748875,5427875,8.22
1750875,5427875,8.68
1741625,5428125,7.08
1741875,5428125,4.7
1743625,5428125,2.69
1743875,5428125,188.27
1744125,5428125,197.73
1744375,5428125,29.62
1744625,5428125,218.12
1744875,5428125,217.83
1745125,5428125,269.22
1745375,5428125,240.81
1745625,5428125,167.41
1745875,5428125,86.94
1746125,5428125,116.22
1746375,5428125,181.09
1746625,5428125,254.29
1746875,5428125,89.94
1747125,5428125,212.72
1747375,5428125,365.03
1747625,5428125,140.61
1747875,5428125,108.11
1748125,5428125,132.92
1748375,5428125,536.16
1748625,5428125,920.81
1748875,5428125,58.38
1741875,5428375,7.08
1743875,5428375,35.88
1744125,5428375,11.36
1744375,5428375,97.78
1744625,5428375,196.68
1744875,5428375,248.41
1745125,5428375,77.54
1745375,5428375,227.52
1745625,5428375,188.72
1745875,5428375,134.78
1746125,5428375,170.61
1746375,5428375,218.17
1746625,5428375,180.92
1746875,5428375,181.34
1747125,5428375,296.78
1747375,5428375,271.89
1747625,5428375,136.79
1747875,5428375,15.37
1748125,5428375,13.37
1748375,5428375,353.77
1748625,5428375,151.3
1748875,5428375,73.37
1741875,5428625,2.32
1743375,5428625,5.38
1743625,5428625,8.08
1743875,5428625,2.84
1744375,5428625,64.67
1744625,5428625,170.99
1744875,5428625,154.87
1745125,5428625,136.21
1745375,5428625,236.21
1745625,5428625,195.26
1745875,5428625,231.79
1746125,5428625,152.08
1746375,5428625,219.21
1746625,5428625,207.19
1746875,5428625,125.57
1747125,5428625,253.73
1747375,5428625,221.52
1747625,5428625,205.39
1747875,5428625,268.27
1748125,5428625,73.67
1748375,5428625,159.84
1748625,5428625,78.34
1748875,5428625,20.42
1749125,5428625,75.0
1742125,5428875,7.02
1743125,5428875,4.64
1744625,5428875,119.76
1744875,5428875,137.11
1745125,5428875,47.8
1745375,5428875,261.08
1745625,5428875,44.56
1745875,5428875,56.49
1746125,5428875,185.69
1746375,5428875,233.58
1746625,5428875,80.48
1746875,5428875,47.06
1747125,5428875,201.31
1747375,5428875,211.07
1747625,5428875,213.81
1747875,5428875,48.75
1748125,5428875,374.39
1748375,5428875,354.54
1748625,5428875,60.0
1748875,5428875,88.83
1749125,5428875,126.55
1744875,5429125,5.0
1745125,5429125,2.63
1745375,5429125,110.04
1746125,5429125,16.6
1746375,5429125,120.55
1747125,5429125,32.12
1747375,5429125,179.01
1747625,5429125,138.64
1748375,5429125,294.98
1748625,5429125,208.2
1748875,5429125,54.65
1749125,5429125,238.37
1749375,5429125,233.31
1745125,5429375,8.08
1747125,5429375,203.64
1747375,5429375,228.67
1747625,5429375,115.56
1748375,5429375,66.63
1748625,5429375,399.82
1748875,5429375,296.0
1749125,5429375,191.06
1749375,5429375,238.16
1742375,5429625,4.76
1742875,5429625,2.69
1746875,5429625,72.59
1747125,5429625,235.13
1747375,5429625,195.17
1747625,5429625,105.0
1748625,5429625,106.64
1748875,5429625,330.6
1749125,5429625,199.18
1749375,5429625,51.11
1742625,5429875,2.32
1742875,5429875,18.85
1746875,5429875,48.27
1747125,5429875,209.42
1747375,5429875,146.16
1747625,5429875,201.51
1747875,5429875,186.83
1748125,5429875,72.27
1748875,5429875,130.71
1749125,5429875,409.47
1742375,5430125,2.38
1742625,5430125,5.08
1742875,5430125,18.1
1743125,5430125,2.69
1746875,5430125,13.06
1747125,5430125,9.8
1747375,5430125,18.73
1747625,5430125,159.33
1747875,5430125,209.88
1748125,5430125,199.58
1748375,5430125,17.31
1748875,5430125,44.43
1749125,5430125,150.72
1749375,5430125,6.67
1743125,5430375,12.71
1743375,5430375,20.94
1747375,5430375,2.54
1747625,5430375,38.1
1747875,5430375,195.62
1748125,5430375,137.38
1748375,5430375,185.45
1748625,5430375,217.58
1748875,5430375,176.37
1749125,5430375,164.41
1749375,5430375,118.51
1742125,5430625,2.38
1743375,5430625,20.64
1747375,5430625,152.52
1747625,5430625,55.48
1747875,5430625,131.98
1748125,5430625,159.84
1748375,5430625,195.12
1748625,5430625,249.76
1748875,5430625,231.94
1749125,5430625,180.44
1749375,5430625,238.65
1749625,5430625,73.93
1742875,5430875,2.54
1743375,5430875,5.08
1743625,5430875,5.08
1743875,5430875,2.69
1747375,5430875,61.88
1747625,5430875,218.2
1747875,5430875,42.0
1748125,5430875,2.47
1748375,5430875,7.06
1748625,5430875,201.44
1748875,5430875,252.74
1749125,5430875,137.57
1749375,5430875,119.86
1749625,5430875,60.45
1749875,5430875,88.09
1750125,5430875,5.09
1743625,5431125,2.69
1747375,5431125,6.08
1747625,5431125,141.5
1747875,5431125,170.47
1748125,5431125,12.0
1748375,5431125,74.4
1748625,5431125,20.25
1748875,5431125,43.12
1749125,5431125,18.0
1749375,5431125,22.0
1749625,5431125,2.5
1749875,5431125,89.42
1750125,5431125,102.13
1750375,5431125,10.0
1743625,5431375,10.77
1747375,5431375,109.37
1747625,5431375,145.47
1747875,5431375,120.22
1748125,5431375,88.51
1748375,5431375,194.74
1748625,5431375,191.88
1748875,5431375,87.79
1749125,5431375,63.77
1749375,5431375,44.69
1749625,5431375,63.64
1749875,5431375,167.34
1750125,5431375,148.68
1750375,5431375,10.91
1750625,5431375,81.82
1750875,5431375,2.73
1743625,5431625,5.38
1747125,5431625,21.0
1747375,5431625,109.5
1747625,5431625,107.44
1747875,5431625,68.44
1748125,5431625,195.91
1748375,5431625,151.5
1748625,5431625,194.79
1748875,5431625,226.6
1749125,5431625,152.82
1749375,5431625,87.15
1749625,5431625,193.18
1749875,5431625,215.68
1750125,5431625,142.31
1750375,5431625,74.25
1750625,5431625,106.34
1750875,5431625,134.8
1751125,5431625,11.03
1747125,5431875,39.0
1747375,5431875,37.5
1747875,5431875,10.67
1748125,5431875,181.54
1748375,5431875,148.55
1748625,5431875,167.8
1748875,5431875,238.8
1749125,5431875,203.76
1749375,5431875,236.4
1749625,5431875,123.46
1749875,5431875,250.02
1750125,5431875,217.21
1750375,5431875,141.65
1750625,5431875,111.62
1750875,5431875,101.14
1751125,5431875,146.15
1751375,5431875,44.99
1743625,5432125,7.93
1743875,5432125,8.08
1747875,5432125,69.2
1748125,5432125,206.69
1748375,5432125,181.46
1748625,5432125,117.83
1748875,5432125,188.04
1749125,5432125,239.72
1749375,5432125,227.07
1749625,5432125,143.37
